Cat,Name,Smiles,PIC50_pred,
S3273,Hypericin,CC1=C2C3=C(C)C=C(O)C4=C3C5=C6C2=C(C(=C1)O)C(=O)C7=C6C(=C(O)C=C7O)C8=C(O)C=C(O)C(=C58)C4=O,5.537920257,
S3612,Rosmarinic acid,OC(=O)C(CC1=CC=C(O)C(=C1)O)OC(=O)\C=C\C2=CC=C(O)C(=C2)O,5.533222643,
S9055,Salvianolic acid A,OC(=O)C(CC1=CC(=C(O)C=C1)O)OC(=O)\C=C\C2=C(/C=C/C3=CC(=C(O)C=C3)O)C(=C(O)C=C2)O,5.533222643,
S2362,Synephrine,CNCC(O)C1=CC=C(O)C=C1,5.52927031,
S2321,Magnolol,OC1=C(C=C(CC=C)C=C1)C2=CC(=CC=C2O)CC=C,5.521815702,
S9083,Rhapontin,COC1=C(O)C=C(C=C1)/C=C/C2=CC(=CC(=C2)O)OC3OC(CO)C(O)C(O)C3O,5.516381004,
S3300,Desoxyrhaponticin,COC1=CC=C(C=C1)/C=C/C2=CC(=CC(=C2)O)OC3OC(CO)C(O)C(O)C3O,5.516381004,
S0922,Salvianolic acid C,OC(=O)C(CC1=CC(=C(O)C=C1)O)OC(=O)/C=C/C2=C3C=C(OC3=C(O)C=C2)C4=CC(=C(O)C=C4)O,5.511702011,
E4183,3-Methylcatechol,CC1=C(O)C(=CC=C1)O,5.509481005,
S4018,Sennoside B,OCC1OC(OC2=CC=CC3=C2C(=O)C4=C(O)C=C(C=C4C3C5C6=C(C(=O)C7=C(O)C=C(C=C57)C(O)=O)C(=CC=C6)OC8OC(CO)C(O)C(O)C8O)C(O)=O)C(O)C(O)C1O,5.508323756,
S4033,Sennoside A,OCC1OC(OC2=CC=CC3=C2C(=O)C4=C(O)C=C(C=C4C3C5C6=C(C(=O)C7=C(O)C=C(C=C57)C(O)=O)C(=CC=C6)OC8OC(CO)C(O)C(O)C8O)C(O)=O)C(O)C(O)C1O,5.508323756,
S3842,Isoquercitrin,OCC1OC(OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(O)C=C4)O)C(O)C(O)C1O,5.507755978,
S5453,Hyperoside,OCC1OC(OC2=C(OC3=C(C(=CC(=C3)O)O)C2=O)C4=CC(=C(O)C=C4)O)C(O)C(O)C1O,5.507755978,
S9018,Luteoloside,OCC1OC(OC2=CC3=C(C(=C2)O)C(=O)C=C(O3)C4=CC=C(O)C(=C4)O)C(O)C(O)C1O,5.507755978,
S9059,4'-O-Glucosylvitexin,OCC1OC(OC2=CC=C(C=C2)C3=CC(=O)C4=C(O3)C(=C(O)C=C4O)C5OC(CO)C(O)C(O)C5O)C(O)C(O)C1O,5.507755978,
S9125,Apigetrin,OCC1OC(OC2=CC3=C(C(=C2)O)C(=O)C=C(O3)C4=CC=C(O)C=C4)C(O)C(O)C1O,5.507755978,
